stemmed_review,label
senang belanja shopee tinggal pilih chek out nunggu bang kurir ngantar barang lemah barang pajang orang toko sesuai kirim,positif
,positif
respon,positif
keranjang ngebug pas buka barang udah kasih keranjang gak menu utama perbaikin,negatif
pilih expedisi nya paku spx kembali apk shopee mode bebas pilih ekspedisi ribet yasudah auto hapus apk nya see u shopee,negatif
prasaan bayar ga telat bayar tpi knapa mslah sbaliknya aju tolak udah gitu limit,negatif
,positif
guna,positif
lumayan,positif
bagus bantu daerah ga helm harga,positif
aplikasi lambat pengirimanya tunda melulu april april paling ape semingu paket nya datng nya sawal nya suda paket nya dateng ap,positif
bagus,positif
beli shopee mudah yg,positif
shoope is the best,positif
puas,positif
aplikasi mantap banget,positif
shopee foodnya gmna sih kali order makan ga driver censl sistem ros,negatif
good,positif
udah apus apk muncul iklan apalgi game gk iklan kayak gitu saudara beli drone shoope dateng botol minum harga ribu udah muak iklan gk ilangin mohon hilang iklan apk shoope gk ganggu orang gk sih kesel gk niat tu download ortu udah downld hp,negatif
good,positif
mantap,positif
,positif
layan nya,positif
j t non aktif kirim kecewa berat putus kontrak j t j t kirim cepat,negatif
bagus banget aplikasi,positif
puas layan shopee,positif
tahan tingkat promo promo tarik,positif
h dah minggu,negatif
amanah,positif
layan cpt jaga konsumen alam yg kecewa reseler bgt barang kembali uang lgs terima,positif
mantap,positif
suka dgn shopee,positif
tlg tertib jual jual yg tdk barang yg jual barang yg palsu shopee nama yg belanja online,positif
biaya admin jual nya mahal,negatif
bagus banget,positif
woy aplikasi lu lot bgt gw buka lazada lancar ae gilir buka sophee delay muter loading bener udah bolak hapus cache ae bener,negatif
suka telat suka,positif
rugi,negatif
developer shopee fitur capit premium tolong hapus main unsur judi bayar koin perak harap hadiah tolong ajar masyarakat judi kecil kalo kasih hadiah pakai pasang pasang koin trimakasih perhati,negatif
jossss gandos,positif
allhamdulilah,positif
bantu,positif
good,positif
smua lengkap ga nyaman belanja tp harga murah shopee konsumen belanja untung,positif
yaa,positif
joooooooosss,positif
bagussss,positif
shopee,positif
ok,positif
bagus kadang kena tipuu,positif
keren,positif
bantu produk,positif
proses bayar cepat selesai pokok puas deh belanja shopee,positif
tinggal shope gilir karna kirim yg super,negatif
luv,positif
puas belanja shopee ga udh member platinum hee,positif
shopee kirim,negatif
,positif
percaya tp kemarin tipu jual dshopee yg beli dentova yg kotak kosong astagfirullah saran baik jual spt dblock aza ya shopee tdk korban yg salah khilaf mohon maaf,positif
shopee belanja baik akurat,positif
paket udah pakai jasa kirim spx jasa kirim jnt gak badal jnt jasa kirim cepat,positif
ok and good,positif
ok,positif
jelek bgt,negatif
mudah transaksi,positif
,positif
dear shopee dark mode aplikasi kaya udah fitur shopee terang banget kek cahaya ilahi bikin silap mata pakai malem malem dark mode enak ngurangin capek mata ngirit baterai pake hp oled tolong cepat tambahin fitur simpel guna thanks,negatif
ok,positif
gamenya si seru malesnya suruh bayar mulu kalah hadeuuh,netral
tas unik suka lucu,positif
good,positif
barang nya sesuai bagus bangget,positif
biaya layan mahal beli capai up,negatif
ok,positif
knpa top up shopee pay ga ka nge leg aja ga buka,positif
rakyat,positif
kirim nya daerah,positif
dirkon yg murah,positif
mudah cari barang gaada offline store harga harga nya jangkau,positif
mantab,positif
ok,positif
suka deh belanja,positif
bagus recommended,positif
alhamdulillah,positif
mudah cari yg,positif
barang sesuai yg iklan,positif
bantu,positif
,positif
the best,positif
rekomendasi shopee,positif
tdk download,netral
hehe not bad,positif
oke,positif
bang dapet barang,positif
ok,positif
toko baik dn aman,positif
puas belanja shopee,positif
aplikasi budak modern mitra driver shopefood spx,negatif
bantu belanja,positif
keluar jnt shopee hancur toko online besar nomor indonesia angin segar toko online belah,netral
keren,positif
terimakasih cipta shoope,positif
suka bepanja shopee krn yg harga murah drpd toko kadang sesuai expektasi bbrp seller amanah promosi dagang tp yg amanah koq,positif
puas belanja shopee,positif
kirim cepat suka,positif
shopee in the best,positif
good,positif
good,positif
amanah gratis ongkir,positif
mantap kirim cepat y kk,positif
ok,positif
belanja online aman nyaman,positif
shopee bantu konsumen barang yg butuh mudah harga jangkau,positif
suka belanja suka karna gak belanja vocer discount sebab gak,negatif
baguss,positif
amazing prepect,positif
good,positif
shopee percaya aman bantu mudah belanja online butuh belanja bijak belanja shopee shopeelive shopeevideo voucher diskon harga gratis ongkir hemat kirim cepat terima kasih shopee,positif
aplikasi baik belanja online kecewa kirim cepat jual amanah kurir ramah minus spinjam ngajuin langsung acc minggu jatuh tempo langsung lunas pinjam tolak aneh bayar sesuai seblum jatuh tempo limit spaylater ga bayar aman minus nya misi kredit skore ga ubah belanja misi ga ubah,positif
kirim cepat,positif
bagus,positif
bagus mudah mageran malas belanja hehe pokok langgan belanja shopee,positif
cepet murah,positif
tolong spx kirim tolong update cepat,netral
ku kasih bintang habis duit,positif
kirim banget barang sampe gak sesuai estimasi sortir nya hari kurir nganter barang gak sampe hari kalo kaya gin seller buyer bener bener rugi tolong baik kirim nya,negatif
bagus,positif
keren,positif
top dah shopee,positif
jaga amanah pesan,positif
suka beli barang barang shopee,positif
bagus puas belanja shope barang sesui,positif
bantu pasu,positif
barang sungguh mantap mantap tap mar mantap guritap mantap tap,positif
suport konsumen,positif
tgl kirim udh serah jasa kirim tgl blom proses payah,netral
shopee is good,positif
shopee sdh bagus nggak akses tunanetra yaaa guna shopee tunanetra mohon baik tolong kerja jnt terimakasih moga saran terima,positif
moga selernya slalu amanah biar langgan shoppe tdk kabur toko belah free ongkirnya tingkat lg org blanja nyarinya free ongkir full,positif
shopee is the bast,positif
mantaf belanja dishopee,positif
bikin iklan jebak tanda silang pojok kanan tipu kali udah gitu tambah tanda baterai lemah maksud ken laku aplikasi murahin barang barang iklan kebut barang barang mahal pecat aja bikin desain iklan iklan penuh jebak,positif
bagus,positif
aplikasi bagus,positif
suka banget belanja shopee,positif
cocok beli,positif
mall baik,positif
adain bayar pakai dana gopay macam pls,positif
emang shopee mantap pelayananan nya banding aplikasi kurir aktif hubung langgan hubung toko toko yg gabung shopee amanah jaga percaya toko sophee sukses maju shopee saran sy terima produk toko yg tdk original ut gabung shopee,positif
gantung pesan bagus ori,positif
shofeepay bantu terimakasih,positif
aplikasi ngebug gajelas,negatif
mantap,positif
wilayah pakai kurir spx kecewa jarang antar rumah kalo kurir spt jnt bagus aja,positif
mantap,positif
limit spaylater pakai shopee tahun bayar belanja malas pakai kalah aplikasi belah cepet naik,negatif
akun spaylater mas beku udah thun udah lunas,negatif
keren pkok nya,positif
bagus doang gw buka barang shop ga sinyal gw aman aja gw rating klo g bug ni apk,negatif
belanja shopee puas bgt cashback voucher ongkir,positif
minus nya klo bayar langsung proses klo cod proses cepet wkwk,positif
mudah belanja harga jg murce,positif
shoope error gimanaa mesen barang halaman muat,negatif
bagus sesuai,positif
,positif
gajelas,negatif
dlu yaaa,negatif
gabisa cod,positif
tolong baik antar nya suka telat bgt,positif
bagus banget ok poko na bagus de,positif
emang belanja shopee harga jangkau tapi sayang nya nggak bonus belanja terus nggak bonus gratis ongkir,netral
oke,positif
belanja cepat layan,positif
shooping santai,positif
shopee no depan suka banget dah pkok nya aolikasi inj,positif
muas,positif
shopee ya barang fi shopee seringkali sesuai iklan,positif
sagat memuwaskan,positif
bikin abis duet nie aplikasi tpi sukakk luvv,positif
cs gak becus kerja retur maret april tdk nanganin ujung nya suruh ambil gudang peak,negatif
shopee keren,positif
mantapp diskon mulu penegiriman cepat,positif
ok,positif
aplikasi inih bikin hp sayah rusak banget iklan aplikasi inih bikin rusak bikin ngebleng ngekris,negatif
mantap,positif
mantabbb,netral
mmbantu,positif
tolol anking,positif
keren,positif
berat geser gerak video animasi ram imbang ilah tengah bawa lihat luar app isi konten nya video teks lancar mohon maaf terima kasih,positif
shopee suka,positif
shopee ok mantab,positif
paya gak ngasi pinjam undur dasar jelek,negatif
tolong baik ongkos driver kasi udah gtu pake instan brasa pake samday driver bikin titik antar aplikasi driver instan nya niat hati sen instan buru driver nganter titik harga kirim mahal antar kaya samday,negatif
harga murah kirim cepat barang sesuai iklan,positif
kangen sopi yamg suka dapet sopipay koin,netral
puas belanja shopee,positif
lot x aplikasi y jaring udah pull,negatif
ok,positif
nyaman shoping keranjang orens shopee voucher gratis ongkir kurir spx udh langgan candu cek out mulu apk nyala suami cari uang,positif
aplikasi shopee yg lindung konsumen jual yg nakal,positif
bagus mantap diskon koin koin nya,positif
kirim spx sampah telat estimasi alas kirim tunda foto bukti paket area rumah kurir wa telpon nomor telpon tera,negatif
bantu shopee kali kecewa olshop barang sesuai pes tolong perhati lapor konsumen rugi olshop amanah,positif
manfaat,positif
mudah cari barang,positif
bagus percaya,positif
aman aja layan shopee,positif
bagus cod kirim tdk lambat tp sayang msh aja oknum yg atas nama admin shoope tipu dg alas pakai spaylater penting tagih beban aq shoope tindak cari oknum tsb aq foto nama shoope tagih tdk beban konsumen shoope,positif
cepat aman murahh,positif
barang shopee mantap,positif
cok iklan mu lo pencet silang mlebu aplikasi gatel,negatif
shoppe emang the best,positif
sesuai butuh slalu sedia,positif
puas belanja shopee live,positif
saran coba saring teliti jual yg amana dgn sesuai barang yg jual bru beli was was tipu,positif
terkadang bagus cepat kadang ya gitu kurir kali barang telat estimasi yg tentu contohmya kaya skrng ku ngalamin,positif
aplikasi ok harga murah toko olshop layan bagus fitur lengkap dukung ekspedisi handal bintang shopee,positif
bagus,positif
bagus layan,positif
good job,positif
layan shopee keren,positif
ok,positif
bikin susah cari driver lapaaarrrrrrrr,negatif
mantab min kalo banyakin gratis ongkirnya biar cekout,positif
bagus,positif
gratis ongkir minimal belanja,positif
ok,positif
apk berat maksa banget nonton video,negatif
iklan jengkel,negatif
bantu,positif
,positif
shopee is the best,positif
suka shopee promo diskon,positif
kenapaa gabisa bayar pake danaa bgtt pake spay yaa kalo saldo dana tf spay tf nya pake ktp ribett kadang suka diisiin dana ayah ribet minn tolong bgt tambahin opsi danaaaa,positif
update sih versi susah banget buka kali update ok akun shopee punya gak buka,negatif
kyk nya kirim nya cpet pake jnt deh,positif
kecewa pesan batal,negatif
shopee berattt aplikasi yg lemott jaring gua yg disalahinn,negatif
apk gj pktku btlin ak g pke sistem cod krna pkt yg btlin dri shopee apkny yg btlin akun ku jga yg kna imbasny,negatif
shopee harga discount nya murah,positif
shopeefood,negatif
bagus,positif
coba gk bayar cod,negatif
layan bagus barang,positif
shope mantap,positif
kapitalis sistem nya bikin driver sengsara,negatif
harga murah pelatanan prima,positif
pokok nya yes,positif
bagus,positif
mantab moga sukses amanah,positif
good luck,netral
belanja shopee pokok baik deh,positif
,positif
aplikasi jahat pro manja buyer problematik seller gencet mati mati bijak brutal,negatif
shpoee bantu kirim cepat,positif
kacamata cowok umur th suwaji,positif
aplikasi bagus,positif
puas pake shopee gratis bonus,positif
puas,positif
aman,positif
bagus,positif
please add dark mode,netral
mantap,positif
terimakasih shopee patner belanja baik,positif
,positif
senang,positif
jelek,negatif
sih notifikasi shoppe delay banget masak beli nanya notifikasi nya menit langgan gak beli karna lambat respon notifnya serba lambat buka apk kadang lelet lelet jaring ok ok aja mohon tingkat ya dah topup iklan kek gin gak enak baik ya depan biar notifikasi gak delay sumpah bikin rugi bangt,netral
belanja dishopi muas,positif
baguss,positif
mantap,positif
tambahin bayar via dana ga relate bngt,negatif
shopee tolong kondisi buka shopee langsung live video berisik buka shopee langsung belanja lihat orang livestreaming,netral
jelek bngt daftar spaylatter susah,negatif
hei min akun log out login gk ganggu ganti password susah dapet sistem ganggu benerin akun log out,negatif
aplikasi bagus jasa kirim kadang eror pagi sore via chat tau kirim jadwal ulang bilang bayar titip rekan tuju ya inti komunikasi mas kirim,positif
rulesnya pihak seller fitur blokir buyer hilang hapus rating ga tuju buyer,negatif
ok,positif
ga tau bintang,positif
belanja shopee tuh murah gratis ongkir,positif
apikasi bantu kadang kalo ga daerah dekat cari shopee apalagi diskon vouchernyaa kaum dang mending pasti cocok sii hehehe,positif
bagus layan,positif
pokonyh puas belanja shopee,positif
mantab,positif
aplikasi bagus kawan suka bingung sen kopi shopee ribu ribu bingung kawan gapapa aplikasi bagus,positif
bgus,positif
mantab,positif
puas banget,positif
shopee beli barang belanja online non cod non cash on delivery bayar beli jual milik rekening perban milik investasi janji kerjasama bisnis buku transaksi selesai selesai sistematis berat beli jual kurir bayar beda cod non cod non cod uang negara terkonve,positif
order tanggal kirim chat jual kemarin kemarin usaha kirim kirim aju batal tolak jual chat cs shopee solusi suruh nunggu haduh peepee rugi nih batal otomatis duit,negatif
kirim,negatif
barang palsu gak sesuai,negatif
pop up livenya maksa bgt tolong org udah pencet tombol x tetep masuk video risih sm po up live yg maksa nonton pdhl fokus lihat detail produk ganggu mulu,negatif
mudah cepat,positif
mantap bagus bgt apk cuman tinggal klik dh selesai lgi,positif
bagussss produk murah murah kualitas cs nya ramah ramah baguss deh poko,positif
guna,positif
shopeefood nyari driver nya banget ya udah coba toko cari driver mulu,netral
ongkir jangkau kalo gratis ongkir,positif
shopee oke bnget,positif
sukses shope,positif
bantu apl shopie nya mudah belanja online nya,positif
harga bagus service bagus kirim lambat dibatalin ga tolak ga bener lazada aja,positif
mantap,positif
mantap juwaa,positif
bagus,positif
bagus,positif
perkara barang cancel cod lgsung ngk aktif lgi jdi puas belanja,netral
aplikasi berat load tarif tf gede plus layan shopee foodnya jelek bgt x nyoba order ga ketemu driver gtu hapus aja fiturnya,negatif
,positif
good,positif
tolong fitur shopee premium biar beli barang yg blokir,netral
cihuyy,positif
kembang update,positif
shopee cepat,positif
puas pokok pesan sesuai deskripsi,positif
mantap,positif
muncul event diskon tanggal,negatif
shopee pngirimn kilat number one,positif
tarik tampil bagus lihat,positif
suka,positif
mudah belanja,positif
semi profesional,negatif
ok,positif
gampang pesan seuatu aplikasi,positif
bnyak jual jual barang rusak cari barang sesuai,negatif
jos,positif
kerenkoh kosaya tidabisa donlotya,positif
mudah murah belanja aplikasi gratis ongkir rp aplikasi belah ubah ongkir nya mahal,positif
goddd keren,positif
kasih bintang mesan shopee food kali cari driver nya mohon defoloper baik,netral
bagus,positif
paaraaaahhhh gedegg jelek spx express pengirimanx lambatt payah spx,negatif
puas bgt,positif
bagus banget,positif
tolong jual memory hp palsu tolong shopee toko toko jual memori hp palsu blokir terima kasih,negatif
bantu mudah cari barang yg,positif
mantap gratis ongkir nya,positif
shopee kakean atur,negatif
kecewa karna paylater beku mesti yg tanggung yg percaya,negatif
udah gila shopee putus kerja j t gw yg pulau nusa lembongan kena dampak tau nggak expedisi yg tuh lot gw pake shopee express bulan paket gw nyampe gak cuman pulau expedisi yg andelin jnt fix pindah market place yg bye bye shopee,negatif
gk tau knp shopeefood sring kena cari driver trus pdhal sebeleh aman aj lngsung dpet susah ampun dtengah kota kocak nunggu jam dibatalin otomatis trus bodoh uninstal aj,negatif
,positif
ok,positif
apk mutu seller gak jujur beli barang barang sesuai cs nya lelet,negatif
gk pernh nolak pket tpi gk cod mna pembyrn fia tf trszz,negatif
good,positif
mantap oke joss niaaan,positif
suka shopee yg jujurly sy suka pakai kirim j t banding spx j t dalam cod so bad,negatif
aplikasi bodoh tolong mati notif nya banyak notifikasi menggangu tolong baik devoloper nya sering ngirim notif,negatif
is the best,positif
shopee ok pokok moga sukses depan,positif
bagus,positif
suka baja shope udah kirim salah,netral
bgus,positif
bantu,positif
insyaallah puas,positif
sukaa bgt belanja apk gk ribet mudah erti,positif
puas,positif
kekmana nya shopee co barang jasa kirim gak,negatif
belanja pakai apk kasi diskon,positif
semenjak mobil gua tabrak tukang kurir shopee gua males belanja,negatif
mohon bantu tdk tambah kartu rekening,positif
belanja shopee murah ongkir kadang gratis ongkir asyik lg barang cek bayar is the best pokok,positif
pas mesan makan shopeefood cancel mulu alas driver kali pes x pes cancel,negatif
belanja enak gampang harga sdkit dibwah pasar pko e mantap,positif
terimasih shopee pelosok bantu wujud cita,positif
cinta gwe bgt,positif
simple mudah,positif
okeh,positif
,netral
aplikasi belanja online manfaat belanja mudah capek capek toko barang kendala belanja aplikasi moga shopee depan terimakasih shopee,positif
muas,positif
good job,positif
shopee bantu layan,positif
bantu,positif
bagus,positif
kecewa saldo jual juta tarik udah jual shopee kali kek gin koncet,negatif
bgt sampek nya udah ngga jnt,netral
ya,negatif
good,positif
bagus banget,positif
shopee bagus bantu cari butuh hidup,positif
bagus,positif
bagus,positif
proses nyiapin barang nya nympe nya mnding toko online sblh sat set libur kirim,negatif
kak klo buka aplikasi gambar nya gak muncul ya jd kalo belanja suka kesel karna gambar gak muncul tolong baik ya akak,positif
klu beli baju shopee gk usa baju pesan ukur xl yg dtang m parah,negatif
barang tawar bagus jangkau,positif
senang pakai shopee toko dishopee ranjasolshop jual skincare batrisyia,positif
penuh butuh,positif
shopee bantu cari barang jual beli barang shopee mantap,positif
aplikasi shopee bantu order cepat langsung anter seller nya kurir ramah,positif
gambar foto komentar beli zoom alas kasih bintang calon beli kadang detail barang beli gambar beli gambar si jual gambar jual manipulasi besar zoom gambar,negatif
sopee tingkat layan awas,positif
kecewa shopee lg ekspedisi j t jnt yg bagus,positif
kecewa banget ma shopeefoddnya ni bayar pake shopeepay pake paylater tp gila jam makan ga makan enak jdi ngga napsu dluan gara layan banget,negatif
apk bagus,positif
shoppe knp sih kalo hujan susah bgt dapet driver batalinnya hrs nunggu menit,negatif
no udah bener email udah bener verifikasi pas udah selesai verifikasi gamasuk no nya,negatif
belanja shopee gak nyeselnya,positif
kurir nya antar pagi sampe tuh paket ga nyampe nyampe,netral
semenjak pindah jnt antar undur undur mulu,negatif
lelet mending tiktokshop,negatif
sampe andal,positif
,positif
puas belanja aplikasi shopee,positif
tolong kk developer disable permanen fitur menu video sy yg start up apk shopee sdh dialgoritma dicoding auto nyala gt kk ku langsung auto buka video tiktok shopee knp maksa start up mode video aktif dg volume suara ngagetin sgt ganggu bikin gak nyaman boros pulsa data nb please serta tombol or menu utk disablenya utk kendala fatal yg vital atas edisi terbit upgrade apk versi tolong ya,netral
shopee kesini buka kurang jual amanah jujur tipu tambah pengirimanya buruk lot saran beli barang hati cek toko lihat rating ulas sekian moga manfaat,negatif
kirim nya lambat sesuai tanggal estimasi tentu,negatif
sedia metode bayar qris ecommerce saing sedia metode bayar qris verifikasi bayar transfer seabank pin sidik jari,negatif
manfaat,positif
kabar baca shopee april j t expres jasa kirim putus hubung kerjasama j t expres andal spx expres j t cargo ninja expres kirim paket tuju alih toko online,negatif
aman percaya,positif
sesuai harap produk jangkau,positif
pokok shoope keren,positif
